state_code,city,name,category_code,status,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,acq/closed
CA,San Diego,Bandsintown,music,acquired,1/1/2007,,4/1/2009,1/1/2010,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
CA,Los Gatos,TriCipher,enterprise,acquired,1/1/2000,,2/14/2005,12/28/2009,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,1
CA,San Diego,Plixi,web,acquired,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1
CA,Cupertino,Solidcore Systems,software,acquired,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,1
CA,San Francisco,Inhale Digital,games_video,closed,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
CA,Mountain View,Matisse Networks,network_hosting,closed,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0
CA,Mountain View,RingCube Technologies,software,acquired,1/1/2005,,9/21/2006,3/18/2010,1.7205,5.211,3,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,1
CA,San Rafael,ClairMail,finance,acquired,1/1/2004,,8/24/2005,10/4/2010,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,1
MA,Williamstown,VoodooVox,mobile,acquired,1/1/2002,,8/2/2005,2/8/2013,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4,1,1
CA,Palo Alto,Doostang,web,acquired,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
CA,Menlo Park,Zong,mobile,acquired,11/15/2000,,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
